run_id,model,parameters,preprocessing,feature_groups,fold_scores,cv_rmse,cv_std,duration_seconds,status,error
20260824T101633Z,knn,"{""n_neighbors"": 10, ""p"": 2, ""weights"": ""distance""}",knn,"[""all""]","[0.1717257203344062, 0.15467397899473764, 0.1641002631965715, 0.1708970469595482, 0.1352567558376583]",0.1593307530645843,0.0135011516709012,0.1465593749999243,success,
20260824T101633Z,decision_tree,"{""max_depth"": 5, ""min_samples_leaf"": 1}",tree,"[""all""]","[0.17257494770694423, 0.17197965619141706, 0.22037366286155066, 0.18787398430726715, 0.1779016192670084]",0.1861407740668375,0.0180407719851042,0.1534114589999262,success,
20260824T101633Z,decision_tree,"{""max_depth"": 5, ""min_samples_leaf"": 3}",tree,"[""all""]","[0.17238955620473073, 0.16897119688977347, 0.22510311061661478, 0.18789233499862532, 0.17245356364745767]",0.1853619524714404,0.0209252427556922,0.1460394169999972,success,
20260824T101633Z,decision_tree,"{""max_depth"": 10, ""min_samples_leaf"": 1}",tree,"[""all""]","[0.18617860379375628, 0.18633691403030891, 0.21655412764880036, 0.2082322490902506, 0.2129569489350202]",0.2020517686996272,0.013163234635322,0.2226711250000335,success,
20260824T101633Z,decision_tree,"{""max_depth"": 10, ""min_samples_leaf"": 3}",tree,"[""all""]","[0.17411670237933452, 0.18383929392621465, 0.2171838443916421, 0.20355985682120772, 0.18952717986987971]",0.1936453754776557,0.0151449285410321,0.1864369580000584,success,
20260824T101633Z,decision_tree,"{""max_depth"": null, ""min_samples_leaf"": 1}",tree,"[""all""]","[0.18592229970194574, 0.1913844321743861, 0.21715971568034223, 0.19824374882181264, 0.20615126826921074]",0.1997722929295395,0.0110229647902981,0.2388417500000059,success,
20260824T101633Z,decision_tree,"{""max_depth"": null, ""min_samples_leaf"": 3}",tree,"[""all""]","[0.1750596776341483, 0.18726321683730546, 0.21828857252345665, 0.20529413910175523, 0.1898803195485762]",0.1951571851290483,0.0150458550563797,0.1966249579999157,success,
20260824T101633Z,random_forest,"{""max_depth"": 15, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 300, ""n_jobs"": -1}",tree,"[""all""]","[0.14411448437043214, 0.12661173929841765, 0.1721087688768367, 0.13846372927534403, 0.12009594444448635]",0.1402789332531033,0.0180293653883444,3.501293459000067,success,
20260824T101633Z,random_forest,"{""max_depth"": 15, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""n_estimators"": 300, ""n_jobs"": -1}",tree,"[""all""]","[0.14574972214410783, 0.12622390168483977, 0.1704506676917193, 0.13881981040597927, 0.11981213206877941]",0.1402112467990851,0.0176567442379989,2.706569375000072,success,
20260824T101633Z,random_forest,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 300, ""n_jobs"": -1}",tree,"[""all""]","[0.14438080531993933, 0.12583892128699348, 0.1737048335672809, 0.1390447748016591, 0.12069639102590332]",0.1407331452003552,0.0185827752316258,3.468206749999922,success,
20260824T101633Z,random_forest,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""n_estimators"": 300, ""n_jobs"": -1}",tree,"[""all""]","[0.14610560083471208, 0.12679052960531395, 0.17086683601211042, 0.13859067008044046, 0.12037196843956396]",0.1405451209944281,0.0176084643528403,2.669485375000022,success,
20260824T101633Z,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 700, ""subsample"": 0.8}",boosting,"[""all""]","[0.12771808429924017, 0.11115096141581958, 0.16095835359265664, 0.11968317896039411, 0.10762979168294491]",0.1254280739902111,0.0190854055827903,3.182088292000003,success,
20260824T101633Z,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 700, ""subsample"": 0.8}",boosting,"[""all""]","[0.133347170489278, 0.1163428406645151, 0.1592419154467535, 0.12296841441066156, 0.10670120624474341]",0.1277203094511903,0.0179950171533828,5.033043291000013,success,
20260824T101633Z,lightgbm,"{""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 700, ""num_leaves"": 15}",boosting,"[""all""]","[0.13440732672807287, 0.11797307620831407, 0.16098208910354092, 0.12701588443412898, 0.10858882397182358]",0.1297934400891761,0.017838673379122,7.055429207999964,success,
20260824T101633Z,lightgbm,"{""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 700, ""num_leaves"": 31}",boosting,"[""all""]","[0.1389922645726278, 0.12437255917721586, 0.16478517916147548, 0.1284369496181315, 0.10909689357708442]",0.133136769221307,0.0185079657474251,14.284213832999969,success,
20260824T101633Z,catboost,"{""depth"": 4, ""iterations"": 700, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03, ""verbose"": false}",boosting,"[""all""]","[0.12824279885022033, 0.10620332222229138, 0.16098255360824296, 0.12344385076318216, 0.10990311383190317]",0.125755127855168,0.0194219540008905,2.3611183340000252,success,
20260824T101633Z,catboost,"{""depth"": 6, ""iterations"": 700, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03, ""verbose"": false}",boosting,"[""all""]","[0.12805093296686132, 0.10911628924442618, 0.15702700326763605, 0.12267714848536164, 0.10493096991688677]",0.1243604687762343,0.018403510558289,4.897051916999999,success,
20260824T101633Z,dnn,"{""activation"": ""relu"", ""batch_norm"": true, ""batch_size"": 64, ""device"": ""cpu"", ""dropout"": 0.2, ""epochs"": 100, ""hidden_sizes"": [128, 64], ""learning_rate"": 0.001, ""loss"": ""mse"", ""optimizer"": ""adam"", ""scheduler"": ""cosine""}",dnn,"[""all""]","[0.13931963112371523, 0.13591847138476623, 0.22171805654009696, 0.1261708926521077, 0.10911072872094038]",0.1464475560843253,0.0390704464658993,7.46126449999997,success,
20260824T101633Z,dnn,"{""activation"": ""relu"", ""batch_norm"": true, ""batch_size"": 64, ""device"": ""cpu"", ""dropout"": 0.2, ""epochs"": 100, ""hidden_sizes"": [256, 128, 64], ""learning_rate"": 0.001, ""loss"": ""mse"", ""optimizer"": ""adam"", ""scheduler"": ""cosine""}",dnn,"[""all""]","[0.14159715046670698, 0.1342813249818326, 0.21064189073546935, 0.13124010208807327, 0.10564940219072072]",0.1446819740925606,0.0351358103208789,9.03644370799998,success,
20260824T101633Z,catboost_5fold,"{""depth"": 6, ""iterations"": 700, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03, ""verbose"": false}",boosting,"[""all""]","[0.12805093296686132, 0.10911628924442618, 0.15702700326763605, 0.12267714848536164, 0.10493096991688677]",0.12436046877623438,0.018403510558289083,5.285281207999901,success,
20260824T101633Z,xgboost_5fold,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 700, ""subsample"": 0.8}",boosting,"[""all""]","[0.12771808429924017, 0.11115096141581958, 0.16095835359265664, 0.11968317896039411, 0.10762979168294491]",0.1254280739902111,0.019085405582790357,1.9245156250000264,success,
20260824T101633Z,lightgbm_5fold,"{""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 700, ""num_leaves"": 15}",boosting,"[""all""]","[0.13440732672807287, 0.11797307620831407, 0.16098208910354092, 0.12701588443412898, 0.10858882397182358]",0.1297934400891761,0.017838673379122046,8.190148417000046,success,
20260824T101633Z,average_ensemble_5fold,"{""members"": [""catboost"", ""xgboost"", ""lightgbm""], ""weights"": [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]}",mixed,"[""all""]","[0.12773783006462686, 0.10982306005386219, 0.157846206749691, 0.11974028690134435, 0.10417200105742079]",0.12386387696538903,0.01882405249418029,0.0,success,
